id,totalPower,freePower,payPowerLay1,payPowerLay2,payPowerLay3,payPowerLay4,payPowerLay5
int,int,int,int,int,int,int,int
both,both,both,both,both,both,both,both
ID,总电量数,免费电量数,锁1位置,锁2位置,锁3位置,锁4位置,锁5位置
,,,,,,,
1,2,1,1,,,,
2,3,1,2,,,,
3,4,2,2,,,,
4,5,2,2,1,,,
5,6,3,2,1,,,
6,7,3,2,2,,,
7,8,4,2,2,,,
8,9,4,2,3,,,
9,10,5,2,3,,,
10,11,5,2,3,1,,
11,12,6,2,3,1,,
12,13,6,2,3,2,,
13,14,7,2,3,2,,
14,15,7,2,3,3,,
15,16,8,2,3,3,,
16,17,8,2,3,3,1,
17,18,9,2,3,3,1,
18,19,9,2,3,3,2,
19,20,10,2,3,3,2,
